primary_key	age	gender	product_key	product	gross_revenue	discount	NPS_score	Churn_risk
135	45	female	3	large	34.5	5.5	5	0.269
136	52	male	3	large	35.41	4.59	6	0.365
137	42	unknown	2	medium	22.64	2.36	5	0.213
138	43	male	2	medium	22.95	2.05	4	0.484
139	47	male	1	small	6.46	3.54	6	0.144
140	23	female	2	medium	20.86	4.14	1	0.967
141	28	unknown	2	medium	15.31	4.69	7	0.603
142	53	male	1	small	12.52	2.48	4	0.464
143	22	unknown	1	small	12.5	2.5	3	0.544
144	19	male	1	small	7	3	2	0.482
145	19	female	1	small	14.34	5.66	4	0.131
146	22	unknown	3	large	34.27	5.73	2	0.847
147	37	male	2	medium	20.17	4.83	5	0.318
148	19	unknown	1	small	12.96	2.04	5	0.397
149	41	male	3	large	32.02	2.98	5	0.322
150	44	male	2	medium	15.31	4.69	6	0.319
151	33	male	3	large	32.53	2.47	4	0.486
152	42	male	1	small	7.9	2.1	9	0.438
153	22	female	1	small	7.92	2.08	5	0.269
154	58	female	2	medium	15.79	4.21	6	0.353
155	57	female	1	small	11.63	3.37	5	0.599
156	25	female	2	medium	17.59	2.41	8	0.465
157	56	female	2	medium	21.45	3.55	6	0.078
158	32	male	3	large	35.47	4.53	5	0.277
159	25	female	2	medium	18.86	1.14	5	0.24
160	22	male	1	small	8.66	1.34	8	0.594
161	46	male	3	large	34.34	5.66	5	0.364
162	57	female	1	small	9.67	5.33	5	0.396
163	23	unknown	1	small	8.88	1.12	3	0.663
164	24	male	1	small	9.96	5.04	2	0.387
165	27	male	1	small	13.86	1.14	3	0.308
166	43	female	3	large	33.21	1.79	8	0.311
167	22	male	2	medium	23.58	1.42	3	0.617
168	60	unknown	2	medium	23.31	1.69	2	0.215
169	54	female	3	large	37.28	2.72	6	0.387
170	41	male	3	large	39.48	5.52	3	0.535
171	56	female	2	medium	18.6	1.4	2	0.549
172	60	male	1	small	7.36	2.64	4	0.229
173	18	male	3	large	37.6	2.4	6	0.015
174	26	male	1	small	5.05	4.95	4	0.258
175	48	male	2	medium	17.05	2.95	2	0.199
176	51	unknown	1	small	7.45	2.55	7	0.317
177	42	female	2	medium	16.86	3.14	1	0.247
178	51	female	2	medium	17.72	2.28	2	0.63
179	42	male	3	large	33.04	1.96	5	0.365
180	29	male	1	small	7.95	2.05	3	0.592
181	23	male	3	large	34.99	5.01	9	0.417
182	48	male	2	medium	17.85	2.15	5	0.536
183	46	male	3	large	34.87	5.13	2	0.447
184	36	unknown	2	medium	17.03	2.97	3	0.289
185	46	male	3	large	37.93	2.07	9	0.073
186	54	male	1	small	8.08	1.92	2	0.284
187	56	male	1	small	14.75	5.25	5	0.845
188	26	male	3	large	39.45	5.55	1	0.395
189	44	male	2	medium	19.68	5.32	3	0.787
190	46	female	2	medium	21.91	3.09	5	0.574
191	43	female	3	large	30.23	4.77	3	0.543
192	55	unknown	2	medium	20.78	4.22	7	0.453
193	31	male	2	medium	21.05	3.95	4	0.405
194	42	male	3	large	31.84	3.16	4	0.477
195	34	male	2	medium	24.31	5.69	2	0.463
196	32	unknown	3	large	37.92	2.08	5	0.673
197	33	female	2	medium	21.18	3.82	5	0.078
198	20	male	3	large	33.03	1.97	3	0.389
199	53	male	2	medium	19.29	5.71	2	0.708
200	55	female	1	small	8.33	1.67	7	0.362
201	34	male	2	medium	19.76	5.24	7	0.346
202	19	male	2	medium	15.79	4.21	3	0.28
203	28	unknown	2	medium	15.95	4.05	5	0.24
204	49	male	3	large	31.35	3.65	5	0.015
205	44	male	1	small	8.6	1.4	3	0.849
206	53	male	2	medium	16.19	3.81	6	0.551
207	59	female	2	medium	18.6	1.4	3	0.628
208	58	male	2	medium	21.87	3.13	5	0.583
209	44	female	3	large	30.24	4.76	4	0.379
210	44	male	1	small	6.71	3.29	1	0.254
211	58	unknown	2	medium	21.6	3.4	3	0.111
212	42	female	2	medium	18.67	1.33	2	0.472
213	27	female	2	medium	21.14	3.86	4	0.441
214	35	male	1	small	12.21	2.79	2	0.811
215	51	female	2	medium	24.86	5.14	5	0.221
216	33	male	3	large	32.38	2.62	3	0.397
217	38	male	2	medium	19.57	5.43	5	0.635
218	42	male	2	medium	17.58	2.42	1	0.743
219	28	male	1	small	9.07	5.93	4	0.679
220	47	female	2	medium	24.9	5.1	1	0.31
221	55	unknown	2	medium	22.9	2.1	7	0.73
222	34	male	2	medium	25	5	4	0.736
223	43	unknown	2	medium	18.59	1.41	7	0.415
224	47	male	1	small	13.93	1.07	8	0.181
225	23	male	1	small	8.72	1.28	4	0.351
226	51	unknown	2	medium	17.75	2.25	3	0.716
227	36	female	2	medium	22.5	2.5	2	0.518
228	20	female	2	medium	15.34	4.66	5	0.389
229	31	unknown	1	small	12.3	2.7	2	0.463
230	24	male	2	medium	23.98	1.02	6	0.295
231	20	female	3	large	30.68	4.32	6	0.46
232	32	male	2	medium	22.71	2.29	5	0.506
233	30	male	2	medium	17.95	2.05	5	0.712
234	58	male	1	small	5.68	4.32	3	0.413
235	51	male	1	small	5.05	4.95	5	0.139
236	34	female	1	small	7.84	2.16	7	0.407
237	58	female	1	small	5.65	4.35	4	0.112
238	39	male	2	medium	15.68	4.32	5	0.42
239	39	male	2	medium	22.3	2.7	4	0.458
240	57	female	2	medium	19.24	5.76	5	0.581
241	52	unknown	2	medium	16.01	3.99	3	0.567
242	48	unknown	2	medium	20.47	4.53	2	0.496
243	27	unknown	2	medium	23.29	1.71	5	0.102
244	33	male	1	small	6.19	3.81	2	0.579
245	51	male	1	small	10.2	4.8	7	0.589
246	28	male	1	small	14.27	5.73	4	0.557
247	53	female	2	medium	17.24	2.76	3	0.682
248	45	female	1	small	5.35	4.65	1	0.712
249	45	unknown	2	medium	19.9	5.1	2	0.397
250	33	male	2	medium	20.73	4.27	7	0.542
251	20	female	3	large	35.03	4.97	2	0.438
252	37	female	2	medium	21.43	3.57	4	0.136
253	36	male	1	small	14.85	5.15	9	0.153
254	58	female	2	medium	22.64	2.36	2	0.325
255	29	male	2	medium	22.73	2.27	1	0.564
256	49	unknown	1	small	5.86	4.14	7	0.528
257	51	female	3	large	36.51	3.49	4	0.117
258	37	male	2	medium	17.01	2.99	6	0.351
259	53	male	3	large	31.05	3.95	1	0.35
260	59	female	3	large	33.02	1.98	6	0.413
261	27	male	3	large	39.3	5.7	4	0.349
262	32	male	1	small	6.1	3.9	5	0.421
263	54	male	2	medium	22.91	2.09	4	0.386
264	28	unknown	3	large	36.41	3.59	8	0.48
265	25	male	3	large	31.8	3.2	2	0.374
266	57	male	1	small	11.82	3.18	2	0.408
267	21	male	2	medium	17.51	2.49	5	0.581
268	19	male	3	large	35.22	4.78	6	0.431
269	59	unknown	2	medium	20.77	4.23	9	0.541
270	50	female	1	small	9.92	5.08	8	0.237
271	43	male	1	small	7.08	2.92	5	0.213
272	31	female	1	small	6.8	3.2	2	0.431
273	56	male	3	large	32.95	2.05	5	0.483
274	30	male	2	medium	19.13	5.87	9	0.469
275	28	unknown	3	large	36.3	3.7	9	0.476
276	19	male	3	large	37.45	2.55	4	0.247
277	28	female	3	large	35.88	4.12	2	0.184
278	44	female	2	medium	20.19	4.81	2	0.434
279	28	male	2	medium	15.12	4.88	4	0.718
280	47	male	3	large	34.14	5.86	5	0.571
281	54	male	1	small	10.19	4.81	5	0.478
282	31	unknown	3	large	32.53	2.47	9	0.697
283	30	male	2	medium	20.17	4.83	4	0.63
284	26	female	2	medium	22.1	2.9	7	0.752
285	49	male	1	small	8.52	1.48	6	0.754
286	56	male	2	medium	16.15	3.85	4	0.678
287	42	unknown	3	large	37.15	2.85	2	0.217
288	38	male	3	large	30.64	4.36	4	0.424
289	56	male	3	large	38.68	1.32	5	0.457
290	26	male	1	small	8.11	1.89	1	0.259
291	21	female	3	large	30.56	4.44	2	0.533
292	48	female	2	medium	17.12	2.88	1	0.365
293	30	female	1	small	13.16	1.84	6	0.14
294	46	unknown	1	small	11.26	3.74	3	0.643
295	18	male	1	small	14.32	5.68	5	0.6
296	44	female	3	large	37.33	2.67	3	0.904
297	22	unknown	1	small	13.02	1.98	2	0.401
298	43	female	3	large	30.12	4.88	5	0.664
299	32	male	1	small	6.54	3.46	3	0.462
300	48	male	2	medium	21.82	3.18	3	0.851
301	42	female	3	large	31.33	3.67	4	0.488
302	30	male	3	large	30.24	4.76	5	0.424
303	58	female	3	large	31.39	3.61	5	0.587
304	32	unknown	2	medium	18.99	1.01	6	0.428
305	37	female	2	medium	16.79	3.21	4	0.257
306	25	unknown	1	small	6.41	3.59	4	0.129
307	47	male	2	medium	15.36	4.64	7	0.175
308	41	unknown	1	small	5.73	4.27	6	0.442
309	54	male	2	medium	18.92	1.08	1	0.653
310	19	female	2	medium	21.96	3.04	3	0.38
311	27	male	3	large	34.51	5.49	3	0.577
312	37	unknown	1	small	11.38	3.62	2	0.476
313	59	unknown	2	medium	24.63	5.37	4	0.367
314	36	male	1	small	13.1	1.9	2	0.614
315	52	male	3	large	33.5	1.5	1	0.285
316	48	male	2	medium	18.91	1.09	5	0.29
317	47	unknown	2	medium	19.58	5.42	2	0.386
318	43	unknown	2	medium	22.48	2.52	3	0.635
319	58	female	3	large	30.3	4.7	5	0.399
320	19	male	3	large	35.04	4.96	1	0.583
321	58	female	3	large	34.66	5.34	1	0.465
322	26	male	1	small	6.77	3.23	5	0.451
323	26	male	2	medium	22.16	2.84	4	0.484
324	46	male	2	medium	21.54	3.46	4	0.36
325	58	unknown	3	large	36.68	3.32	2	0.319
326	23	female	1	small	5.86	4.14	5	0.456
327	53	male	1	small	10.36	4.64	3	0.564
328	22	male	2	medium	18.43	1.57	7	0.266
329	45	male	2	medium	19.14	5.86	3	0.291
330	59	male	3	large	36	4	6	0.481
331	29	female	3	large	34.58	5.42	4	0.306
332	48	male	2	medium	21.33	3.67	2	0.506
333	23	male	2	medium	16.17	3.83	6	0.259
334	58	male	1	small	12.54	2.46	8	0.582
335	18	unknown	2	medium	24.8	5.2	5	0.406
336	47	male	1	small	5.13	4.87	5	0.252
337	46	male	2	medium	22.72	2.28	7	0.478
338	46	unknown	2	medium	23.79	1.21	2	0.536
339	22	male	2	medium	21.88	3.12	6	0.369
340	52	female	2	medium	24.17	5.83	3	0.562
341	25	female	2	medium	17.74	2.26	4	0.521
342	53	unknown	3	large	36.05	3.95	5	0.239
343	41	male	2	medium	16.2	3.8	3	0.341
344	60	male	2	medium	18.78	1.22	4	0.519
345	43	male	2	medium	22.97	2.03	9	0.481
346	47	female	2	medium	18.65	1.35	9	0.514
347	34	male	2	medium	20.26	4.74	5	0.34
348	43	male	1	small	14.88	5.12	8	0.259
349	51	male	2	medium	15.76	4.24	5	0.319
350	29	male	2	medium	24.75	5.25	5	0.244
351	22	male	1	small	7.97	2.03	4	0.423
352	21	unknown	3	large	39.73	5.27	7	0.815
353	30	female	3	large	39.14	5.86	3	0.432
354	20	male	2	medium	21.9	3.1	6	0.087
355	34	unknown	2	medium	23.24	1.76	5	0.628
356	51	male	3	large	35.71	4.29	5	0.511
357	32	male	1	small	12.91	2.09	6	0.475
358	22	male	1	small	10.77	4.23	5	0.232
359	32	unknown	2	medium	22.94	2.06	8	0.343
360	60	unknown	1	small	14.17	5.83	3	0.154
361	51	female	3	large	34.38	5.62	8	0.048
362	21	unknown	2	medium	16.17	3.83	5	0.148
363	39	male	2	medium	23.94	1.06	4	0.27
364	25	male	2	medium	19.89	5.11	1	0.575
365	47	female	3	large	33.27	1.73	5	0.233
366	20	male	3	large	33.93	1.07	2	0.396
367	25	female	2	medium	15.53	4.47	6	0.306
368	51	unknown	2	medium	22.76	2.24	3	0.251
369	60	male	2	medium	19.36	5.64	6	0.913
370	19	female	1	small	8.14	1.86	8	0.112
371	52	female	1	small	8.53	1.47	4	0.115
372	25	male	3	large	36.44	3.56	7	0.44
373	34	male	2	medium	23.92	1.08	2	0.268
374	32	unknown	2	medium	19.82	5.18	8	0.409
375	50	male	1	small	11.35	3.65	6	0.624
376	37	male	3	large	38.59	1.41	3	0.384
377	18	female	2	medium	23.63	1.37	4	0.161
378	58	unknown	1	small	8.88	1.12	4	0.795
379	57	female	2	medium	23.28	1.72	3	0.257
380	22	male	3	large	35.97	4.03	3	0.626
381	35	male	3	large	35.29	4.71	3	0.32
382	50	male	2	medium	16.7	3.3	6	0.653
383	51	male	2	medium	16.25	3.75	2	0.568
384	43	male	2	medium	21.26	3.74	6	0.208
385	19	female	2	medium	23.96	1.04	5	0.301
386	21	unknown	2	medium	16.87	3.13	2	0.889
387	31	unknown	1	small	8.55	1.45	6	0.346
388	50	male	1	small	14.42	5.58	7	0.421
389	47	male	1	small	7.81	2.19	3	0.057
390	49	male	2	medium	24.75	5.25	1	0.961
391	25	male	1	small	10.02	4.98	6	0.311
392	33	female	2	medium	23.52	1.48	9	0.683
393	56	unknown	1	small	8.74	1.26	5	0.273
394	24	unknown	2	medium	23.07	1.93	4	0.34
395	53	male	2	medium	22.3	2.7	8	0.928
396	39	male	2	medium	16.44	3.56	4	0.631
397	43	male	3	large	31.22	3.78	7	0.327
398	56	female	3	large	35.49	4.51	2	0.573
399	30	female	2	medium	15.2	4.8	4	0.577
400	38	unknown	2	medium	19.08	5.92	4	0.541
401	29	male	3	large	36.74	3.26	7	0.689
402	23	male	3	large	37.34	2.66	7	0.342
403	22	male	3	large	39.67	5.33	6	0.929
404	20	unknown	2	medium	20.6	4.4	3	0.163
405	47	male	2	medium	19.62	5.38	5	0.227
406	48	male	2	medium	16.76	3.24	4	0.289
407	22	male	2	medium	15.41	4.59	6	0.907
408	24	female	2	medium	21.53	3.47	4	0.743
409	53	unknown	2	medium	20.84	4.16	5	0.264
410	19	male	3	large	39.29	5.71	2	0.772
411	54	unknown	2	medium	24.95	5.05	7	0.134
412	53	male	2	medium	23.43	1.57	3	0.402
413	22	female	1	small	5.2	4.8	7	0.414
414	45	unknown	1	small	13.22	1.78	6	0.565
415	43	female	3	large	30.56	4.44	3	0.541
416	24	female	1	small	7.55	2.45	2	0.389
417	45	female	3	large	35.29	4.71	5	0.876
418	19	female	2	medium	16.95	3.05	7	0.382
419	20	male	2	medium	24.96	5.04	3	0.456
420	27	male	2	medium	22.58	2.42	6	0.712
421	27	unknown	1	small	13.84	1.16	6	0.452
422	39	unknown	1	small	14.13	5.87	2	0.833
423	49	male	2	medium	24.16	5.84	5	0.237
424	52	unknown	1	small	10.14	4.86	8	0.659
425	49	male	2	medium	22.91	2.09	3	0.451
426	35	unknown	2	medium	22.69	2.31	8	0.615
427	51	unknown	3	large	35.41	4.59	9	0.718
428	51	male	2	medium	18.08	1.92	5	0.111
429	45	male	1	small	8.05	1.95	7	0.89
430	34	male	3	large	36.54	3.46	6	0.334
431	20	unknown	1	small	7.68	2.32	3	0.323
432	55	male	3	large	30.57	4.43	1	0.279
433	30	female	2	medium	24.53	5.47	2	0.477
434	52	male	2	medium	23.97	1.03	6	0.578
435	24	unknown	3	large	32.2	2.8	6	0.476
436	39	male	1	small	8.52	1.48	4	0.487
437	25	female	2	medium	22.92	2.08	2	0.529
438	35	unknown	1	small	14.47	5.53	4	0.25
439	43	unknown	2	medium	24.06	5.94	5	0.435
440	35	unknown	3	large	35.7	4.3	7	0.359
441	51	male	3	large	32.93	2.07	6	0.476
442	48	male	3	large	34.43	5.57	1	0.438
443	55	male	2	medium	20.48	4.52	3	0.434
444	59	unknown	2	medium	20.19	4.81	5	0.679
445	42	unknown	2	medium	21.36	3.64	5	0.268
446	29	male	3	large	36.54	3.46	2	0.564
447	19	male	1	small	6.49	3.51	6	0.418
448	39	unknown	2	medium	15.38	4.62	6	0.209
449	29	female	3	large	33.27	1.73	8	0.527
450	50	male	1	small	12.64	2.36	7	0.43
451	24	unknown	2	medium	24.97	5.03	3	0.45
452	31	male	3	large	32.81	2.19	5	0.55
453	34	male	1	small	6.44	3.56	5	0.597
454	44	male	3	large	30.29	4.71	8	0.878
455	48	male	1	small	5.34	4.66	7	0.454
456	50	unknown	2	medium	18.79	1.21	5	0.29
457	59	female	2	medium	15.67	4.33	4	0.594
458	21	female	2	medium	19.32	5.68	5	0.39
459	55	male	2	medium	18.07	1.93	3	0.418
460	45	unknown	3	large	31.82	3.18	2	0.668
461	41	male	2	medium	16.61	3.39	9	0.603
462	49	male	3	large	36.55	3.45	5	0.217
463	44	male	2	medium	20.22	4.78	3	0.363
464	43	male	2	medium	16.15	3.85	5	0.167
465	35	male	3	large	37.26	2.74	4	0.324
466	20	female	1	small	12.75	2.25	5	0.396
467	20	male	1	small	11.05	3.95	5	0.608
468	53	female	3	large	36.69	3.31	4	0.623
469	57	female	3	large	37.09	2.91	3	0.65
470	26	unknown	3	large	38.31	1.69	7	0.391
471	42	male	2	medium	22.81	2.19	5	0.689
472	31	female	3	large	39.93	5.07	7	0.286
473	57	male	3	large	35.51	4.49	6	0.648
474	48	unknown	2	medium	18.13	1.87	9	0.254
475	48	male	2	medium	15.49	4.51	4	0.696
476	26	male	3	large	30.66	4.34	4	0.478
477	31	unknown	1	small	11.76	3.24	6	0.671
478	24	male	2	medium	19.76	5.24	1	0.216
479	20	male	2	medium	16.54	3.46	9	0.183
480	38	unknown	1	small	5.45	4.55	6	0.429
481	41	female	2	medium	21.64	3.36	4	0.183
482	22	male	1	small	13.47	1.53	3	0.479
483	34	male	2	medium	18.1	1.9	7	0.467
484	44	female	3	large	33.97	1.03	4	0.124
485	23	male	2	medium	15.87	4.13	4	0.442
486	53	female	3	large	31.13	3.87	6	0.355
487	47	female	3	large	35.22	4.78	3	0.552
488	35	female	2	medium	21.69	3.31	5	0.514
489	22	female	3	large	37.94	2.06	1	0.387
490	32	female	2	medium	16.19	3.81	2	0.308
491	27	male	2	medium	18.03	1.97	3	0.373
492	39	female	1	small	14.01	5.99	4	0.319
493	26	female	2	medium	19.86	5.14	5	0.374
494	58	male	3	large	32.41	2.59	5	0.445
495	51	male	2	medium	19.06	5.94	4	0.363
496	29	female	1	small	11.18	3.82	1	0.417
497	60	male	3	large	33.37	1.63	2	0.441
498	51	male	2	medium	15.11	4.89	6	0.578
499	29	unknown	2	medium	15.77	4.23	6	0.408
500	46	male	3	large	37.63	2.37	5	0.438
501	47	male	1	small	14.68	5.32	3	0.758
502	31	male	2	medium	24.44	5.56	3	0.415
503	38	unknown	1	small	10.97	4.03	5	0.305
504	44	male	3	large	33.16	1.84	4	0.156
505	40	female	2	medium	18.06	1.94	2	0.046
506	47	male	1	small	7.7	2.3	4	0.963
507	38	female	1	small	13.54	1.46	9	0.566
508	36	male	3	large	36.82	3.18	5	0.104
509	51	female	3	large	37.95	2.05	2	0.456
510	58	male	2	medium	24.7	5.3	5	0.776
511	49	unknown	2	medium	16.21	3.79	6	0.432
512	40	male	2	medium	22.58	2.42	1	0.283
513	46	male	2	medium	15.15	4.85	3	0.426
514	47	male	1	small	14.96	5.04	2	0.353
515	32	male	1	small	5.24	4.76	6	0.667
516	39	female	1	small	8.1	1.9	1	0.623
517	43	male	3	large	32.22	2.78	2	0.205
518	27	female	1	small	12.38	2.62	1	0.705
519	40	male	2	medium	15.14	4.86	3	0.639
520	40	male	2	medium	24.65	5.35	6	0.448
521	24	female	3	large	35.26	4.74	6	0.191
522	54	unknown	1	small	7.1	2.9	6	0.761
523	26	male	2	medium	18.97	1.03	3	0.656
524	55	unknown	1	small	13.13	1.87	6	0.201
525	44	female	2	medium	24.51	5.49	4	0.03
526	23	unknown	1	small	5.24	4.76	2	0.833
527	22	male	3	large	34.35	5.65	3	0.648
528	21	male	3	large	32.46	2.54	9	0.521
529	47	male	2	medium	16.89	3.11	8	0.358
530	26	unknown	2	medium	17.64	2.36	1	0.383
531	19	unknown	1	small	12.84	2.16	3	0.324
532	32	female	2	medium	24.89	5.11	3	0.155
533	56	unknown	1	small	10.54	4.46	7	0.621
534	25	female	2	medium	22.49	2.51	6	0.541
535	56	female	2	medium	16.23	3.77	2	0.521
536	19	unknown	3	large	33.66	1.34	7	0.561
537	48	unknown	1	small	11.28	3.72	5	0.686
538	22	male	1	small	12.05	2.95	7	0.631
539	45	male	3	large	33.23	1.77	1	0.655
540	50	male	2	medium	16.73	3.27	6	0.44
541	34	unknown	3	large	39.96	5.04	3	0.273
542	33	male	2	medium	24.93	5.07	4	0.569
543	53	male	3	large	31.23	3.77	5	0.331
544	60	male	2	medium	23.1	1.9	5	0.274
545	40	unknown	3	large	35.52	4.48	6	0.617
546	53	unknown	3	large	38.41	1.59	5	0.339
547	31	unknown	1	small	9.43	5.57	5	0.311
548	47	unknown	2	medium	24.69	5.31	3	0.596
549	48	unknown	2	medium	15.49	4.51	3	0.361
550	37	unknown	2	medium	17.06	2.94	4	0.515
551	35	female	1	small	12.42	2.58	5	0.357
552	39	female	2	medium	18.25	1.75	6	0.053
553	39	male	2	medium	21.14	3.86	6	0.325
554	58	female	1	small	10.57	4.43	7	0.89
555	31	female	3	large	37.64	2.36	5	0.453
556	29	unknown	2	medium	17.93	2.07	4	0.741
557	43	male	3	large	33.88	1.12	5	0.834
558	38	unknown	1	small	8.81	1.19	6	0.255
